target,뜻,기존레벨,제안레벨,변경,zipf,토큰,판정근거,검토필요
기여,도움이 되도록 이바지함,2,1,2→1,4.91,기여,zipf 4.91 — 익숙,⚠️동음이의 — 빈도가 뜻을 구분 못 함
기여,어떤 일이 잘되도록 도움을 줌.,2,1,2→1,4.91,기여,zipf 4.91 — 익숙,⚠️동음이의 — 빈도가 뜻을 구분 못 함
동향,어떤 현상이나 사태가 움직여 가는 방향,1,2,1→2,3.73,동향,zipf 3.73 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
동향,고향이 같음. 또는 고향이 같은 사람,1,2,1→2,3.73,동향,zipf 3.73 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
모형,본뜨기 위한 틀이나 구조,1,2,1→2,4.16,모형,zipf 4.16 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
모형,모양이 같은 물건을 만들거나 찍어 내는 틀,1,2,1→2,4.16,모형,zipf 4.16 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
부합,사물이나 현상이 서로 꼭 들어맞음,1,2,1→2,3.72,부합,zipf 3.72 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
부합,서로 맞대어 붙임,1,2,1→2,3.72,부합,zipf 3.72 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
수렴,돈이나 물건 등을 거두어들임,3,2,3→2,3.92,수렴,zipf 3.92 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
수반,"행정부 등 조직의 우두머리, 으뜸가는 자리에 있는 사람",3,2,3→2,3.80,수반,zipf 3.80 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
수용성,어떤 물질이 물에 녹는 성질,3,2,3→2,3.03,수용성,zipf 3.03 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
역학,"물리에서, 물체의 운동에 관한 법칙을 연구하는 학문",3,2,3→2,3.91,역학,zipf 3.91 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
지연,일이나 시간이 예정보다 늦어짐,1,2,1→2,4.23,지연,zipf 4.23 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
지연,태어났거나 사는 지역에 의해 맺어지는 인간관계,1,2,1→2,4.23,지연,zipf 4.23 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
지표,지구나 땅의 겉면,3,2,3→2,4.04,지표,zipf 4.04 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
치중,어떠한 것에 특히 중점을 둠.,1,2,1→2,3.38,치중,zipf 3.38 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
향상,실력이나 수준 따위를 더 좋게 만듦,2,1,2→1,4.51,향상,zipf 4.51 — 익숙,⚠️동음이의 — 빈도가 뜻을 구분 못 함
수렴,여럿으로 나뉜 의견이나 사상을 하나로 모음,2,2,,3.92,수렴,zipf 3.92 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
수반,어떤 일과 더불어 생김,2,2,,3.80,수반,zipf 3.80 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
수용성,어떠한 것을 있는 그대로 받아들이는 성질이나 능력,2,2,,3.03,수용성,zipf 3.03 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
역학,사물이나 현상 사이에서 작용하는 힘의 관계,2,2,,3.91,역학,zipf 3.91 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
지속적,어떤 상태가 오래 계속되는. 또는 그런 것,3,3,,4.77,지속+적,보류 — 토큰 2개로 쪼개져 값이 조각 빈도(지속+적),⚠️동음이의 — 빈도가 뜻을 구분 못 함
지속적,어떤 상태나 현상이 오래 계속되는 모양.,2,2,,4.77,지속+적,보류 — 토큰 2개로 쪼개져 값이 조각 빈도(지속+적),⚠️동음이의 — 빈도가 뜻을 구분 못 함
지표,"방향이나 목적, 기준 따위를 나타내는 표지",2,2,,4.04,지표,zipf 4.04 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
치중,어느 한쪽으로 무게가 쏠림,2,2,,3.38,치중,zipf 3.38 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
편입,어떤 조직이나 체계의 안으로 들어가거나 들어오게 함,2,2,,3.97,편입,zipf 3.97 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
편입,조직이나 체계의 일부로 들어감,2,2,,3.97,편입,zipf 3.97 — 보통,⚠️동음이의 — 빈도가 뜻을 구분 못 함
향상,"실력, 수준, 기술 따위가 나아짐. 또는 나아지게 함",1,1,,4.51,향상,zipf 4.51 — 익숙,⚠️동음이의 — 빈도가 뜻을 구분 못 함
가변성,상황에 따라 변하기 쉬운 성질,1,3,1→3,0.00,가변성,빈도표에 없음 → 매우 드묾,
감화,좋은 영향을 받아 생각이나 감정이 바람직하게 변화함. 또는 그렇게 변하게,1,3,1→3,0.00,감화,빈도표에 없음 → 매우 드묾,
개가,싸움에서 이기고 돌아올 때에 부르는 노래,1,3,1→3,0.00,개가,빈도표에 없음 → 매우 드묾,
개간,거친 땅이나 버려 둔 땅을 일구어 논밭이나 쓸모 있는 땅으로 만듦.,1,3,1→3,0.00,개간,빈도표에 없음 → 매우 드묾,
개괄,중요한 내용이나 줄거리를 대강 추려 냄,1,3,1→3,0.00,개괄,빈도표에 없음 → 매우 드묾,
검증,검사하여 사실임을 증명함,3,1,3→1,4.66,검증,zipf 4.66 — 익숙,
견실,생각이나 태도 따위가 믿음직스럽게 굳고 착실함,1,3,1→3,0.00,견실,빈도표에 없음 → 매우 드묾,
계책,어떤 일을 이루기 위하여 꾀나 방법을 생각해 냄. 또는 그 꾀나 방법,1,3,1→3,0.00,계책,빈도표에 없음 → 매우 드묾,
극적,극의 특성을 띤. 또는 그런 것,1,3,1→3,0.00,극적,빈도표에 없음 → 매우 드묾,
기개,씩씩한 기상과 굳은 절개,1,3,1→3,0.00,기개,빈도표에 없음 → 매우 드묾,
내실,내부의 실제 사정,1,3,1→3,0.00,내실,빈도표에 없음 → 매우 드묾,
논박,어떤 주장이나 의견에 대하여 그 잘못된 점을 조리 있게 공격하여 말함,1,3,1→3,0.00,논박,빈도표에 없음 → 매우 드묾,
논변,사리의 옳고 그름을 밝히어 말함. 또는 그런 말이나 의견,1,3,1→3,0.00,논변,빈도표에 없음 → 매우 드묾,
논외,논의의 범위 밖,1,3,1→3,0.00,논외,빈도표에 없음 → 매우 드묾,
논지,논하는 말이나 글의 취지,1,3,1→3,0.00,논지,빈도표에 없음 → 매우 드묾,
단초,일이나 사건을 풀어 나갈 수 있는 첫머리,1,3,1→3,0.00,단초,빈도표에 없음 → 매우 드묾,
덕망,덕행으로 얻은 명망,1,3,1→3,0.00,덕망,빈도표에 없음 → 매우 드묾,
도상,길 위,1,3,1→3,0.00,도상,빈도표에 없음 → 매우 드묾,
미감,아름다움에 대한 느낌. 또는 아름다운 느낌,1,3,1→3,0.00,미감,빈도표에 없음 → 매우 드묾,
방종,제멋대로 행동하여 거리낌이 없음,1,3,1→3,0.00,방종,빈도표에 없음 → 매우 드묾,
배가,갑절 또는 몇 배로 늘어남. 또는 그렇게 늘림.,1,3,1→3,0.00,배가,빈도표에 없음 → 매우 드묾,
