target,뜻,기존레벨,제안레벨,zipf,조회형,변경
애도,소중한 사람과의 사별이나 큰 상실 앞에 가슴 깊이 통곡하며 슬퍼하고 보내줌,3,1,5.72,애도,Y
자기기만,스스로 자신의 진심을 속이거나 모른 체하여 정당화함,3,1,5.50,자기기만,Y
영상,머릿속에서 그려지는 사물의 모습이나 광경,3,1,5.18,영상,Y
다변화,모양이나 방법이 많아지거나 다양해짐,3,1,5.04,다변화,Y
절대성,다른 가치와 비교되거나 어떠한 조건에도 제약을 받지 않는 고유한 가치나 성질,3,1,5.03,절대,Y
자주성,남에게 예속되거나 휘둘리지 않고 제 뜻대로 제 삶을 지켜나가는 성질,3,1,5.00,자주,Y
행위성,상황의 지배에 머물지 않고 능동적으로 선택하고 실천하는 힘,3,1,5.00,행위,Y
사장,"가치 있는 물건, 인재, 아이디어 등이 세상에 빛을 보지 못하고 파묻힘",3,1,4.87,사장,Y
지속적,어떤 상태가 오래 계속되는. 또는 그런 것,3,1,4.78,지속,Y
자기부정,더 높은 의식으로 거듭나기 위해 현재의 낡은 자아를 해체하고 부인함,3,1,4.76,자기부정,Y
배치,서로 조화되지 않고 반대가 되어 맞지 아니함,3,1,4.74,배치,Y
검증,검사하여 사실임을 증명함,3,1,4.66,검증,Y
단독성,다른 어떤 것과도 대체될 수 없는 고유하고 절대적인 개별적 성질,3,1,4.65,단독,Y
창조성,"새로운 가치나 개념, 예술적인 작품을 독창적으로 만들어 내는 힘",3,1,4.62,창조,Y
물신화,인간이 만든 사물이나 화폐에 신비하고 초자연적인 힘을 부여하여 숭배함,3,1,4.61,물신화,Y
도구화,인간이나 가치 있는 대상을 그 자체의 목적이 아닌 단지 수단이나 도구로 취급함,3,1,4.53,도구,Y
구체화,막연한 것이 실제적인 형태를 갖게 됨,3,1,4.48,구체,Y
사유,"개념, 구성, 판단 등을 통해 대상을 논리적으로 깊이 헤아리는 정신 활동",3,1,4.45,사유,Y
수용성,어떤 물질이 물에 녹는 성질,3,1,4.45,수용,Y
근대성,이성과 과학적 합리성을 특징으로 하는 근대 사회의 본질적 특성,3,1,4.33,근대,Y
유기성,생명체의 장기들처럼 여러 부분이 서로 긴밀하게 연결되어 떼어낼 수 없는 성질,3,1,4.32,유기,Y
지향성,의식이 항상 어떤 대상이나 목표를 향하고 있는 성질,3,1,4.31,지향,Y
상사성,서로 다른 존재들이 형태나 성질 면에서 미묘하게 서로 닮아 통하는 성질,3,1,4.30,상사,Y
진흥기관,어떤 분야의 발전을 장려하고 일으키는 역할을 하는 기관,3,1,4.27,진흥기관,Y
신성,속세의 비속함에서 벗어나 함부로 침범할 수 없이 숭고하고 거룩한 가치,3,1,4.26,신성,Y
상호주관성,개별적인 주관들이 소통을 통해 서로 공유하고 공감하는 공통의 주관적 영역,3,1,4.25,상호주관,Y
도덕률,양심과 이성에 기초하여 마땅히 지켜야 할 숭고한 행위 규범,3,1,4.22,도덕률,Y
타자성,나와는 다른 존재로서 지니는 고유하고 이질적인 성질,3,1,4.20,타자,Y
변동성,바뀌어 달라지는 성질,3,1,4.19,변동,Y
일체감,타인이나 집단과 자신이 한 몸처럼 연결되어 있다고 느끼는 마음,3,1,4.19,일체,Y
입증,증거를 들어서 어떤 사실이나 주장을 증명함,3,1,4.19,입증,Y
해체,기존의 견고한 고정관념이나 구조를 허물어 뜨려 자유롭게 함,3,1,4.19,해체,Y
규명,자세히 따져 사실을 밝힘,3,1,4.17,규명,Y
우연성,필연적인 인과 관계 없이 예기치 않게 일어나는 성질,3,1,4.08,우연,Y
모순,앞뒤가 맞지 않거나 이치에 어긋남,3,1,4.07,모순,Y
비자발적,자기 스스로의 뜻이 아니라 외부의 압력이나 상황에 밀려 억지로 하는 것,3,1,4.06,비자발적,Y
정교화,"생각이나 기술, 이론 등을 더욱 정밀하고 꼼꼼하게 다듬음",3,1,4.05,정교,Y
지표,지구나 땅의 겉면,3,1,4.04,지표,Y
초월,현실적이고 감각적인 한계를 뛰어넘어 더 높은 차원의 세계나 경지로 나아감,3,1,4.04,초월,Y
객관화,주관에서 벗어나 있는 그대로의 모습을 드러냄,3,1,4.02,객관,Y
이상,생각할 수 있는 범위 안에서 가장 완전하다고 여겨지는 상태,2,1,5.79,이상,Y
이상적,[관형사] [명사] 생각할 수 있는 범위 안에서 가장 완전하다고 여겨지는. 또는 그런 것,2,1,5.79,이상,Y
필요,반드시 요구되는 바가 있음.,2,1,5.75,필요,Y
연구,어떤 일이나 사물에 대하여 깊이 있게 조사하고 생각하여 진리를 따져 보는 일,2,1,5.43,연구,Y
관계,둘 이상의 사람이나 사물 등이 서로 관련을 맺음.,2,1,5.40,관계,Y
참되다,진실하고 올바르다,2,1,5.39,참되다,Y
이해,이익과 손해를 아울러 이르는 말,2,1,5.33,이해,Y
대상,어떤 활동이나 관찰의 상대가 되는 것,2,1,5.29,대상,Y
조사,사물의 내용을 명확히 알기 위하여 자세히 살펴봄,2,1,5.28,조사,Y
일반화,개별적인 현상을 전체에 두루 통하는 것으로 만듦,2,1,5.27,일반,Y
발생,어떤 사물이나 현상이 생겨남,2,1,5.24,발생,Y
방식,일을 하거나 사물을 다루는 일정한 방법이나 형식,2,1,5.19,방식,Y
표현,생각이나 느낌을 말이나 글로 나타냄,2,1,5.17,표현,Y
공식,국가나 공공 기관에서 인정하거나 내세우는 것,2,1,5.16,공식,Y
변경,다르게 바꾸어 고침,2,1,5.14,변경,Y
제공,무엇을 내주거나 갖다 바침,2,1,5.10,제공,Y
개최,모임이나 행사 따위를 주최하여 엶,2,1,5.07,개최,Y
현실,실제로 존재하는 사실이나 상태,2,1,5.02,현실,Y
요구,받아야 할 것을 필요에 의하여 달라고 청함.,2,1,5.01,요구,Y
회의적,어떤 일에 의심을 품는. 또는 그런 것,2,1,5.00,회의,Y
회의감,어떤 일에 확신을 갖지 못하고 의심스럽게 여기는 느낌,2,1,5.00,회의,Y
선정,여럿 가운데서 어떤 것을 뽑아 정함,2,1,4.98,선정,Y
시기,남이 잘되는 것을 샘하여 미워함,2,1,4.97,시기,Y
설정,새로 만들어 정해 둠,2,1,4.96,설정,Y
수상,상을 받음,2,1,4.96,수상,Y
종합,여러 가지를 한데 모아 합침,2,1,4.96,종합,Y
안정적,바뀌거나 흔들리지 않고 일정한 상태를 유지함,2,1,4.95,안정,Y
수준,사물의 가치나 등급 따위의 정도,2,1,4.93,수준,Y
접근,가까이 다가감,2,1,4.93,접근,Y
진정성,위선이나 꾸밈이 전혀 없이 참되고 정직하여 믿을 만한 깊은 성품,2,1,4.93,진정,Y
분야,여러 갈래로 나누어진 범위나 부분,2,1,4.92,분야,Y
기여,도움이 되도록 이바지함,2,1,4.91,기여,Y
기여,어떤 일이 잘되도록 도움을 줌.,2,1,4.91,기여,Y
기존,이미 존재함,2,1,4.91,기존,Y
비판적,사물의 옳고 그름을 판단하여 밝히거나 잘못된 점을 지적하는. 또는 그런 것,2,1,4.85,비판,Y
강화,세력이나 힘을 더 강하고 튼튼하게 함,2,1,4.81,강화,Y
차별화,둘 사이를 구별 지어 서로 다른 독특한 성질을 드러냄,2,1,4.81,차별,Y
유리하다,【…에 / 에게】 이익이 있다,2,1,4.81,유리하다,Y
근무,직장에 나가 일을 함,2,1,4.80,근무,Y
지속,어떤 상태가 오래 계속됨. 또는 어떤 상태를,2,1,4.78,지속,Y
지속적,어떤 상태나 현상이 오래 계속되는 모양.,2,1,4.78,지속,Y
체계화,일정한 원리에 따라 낱낱의 부분이 잘 짜여져 통일된 전체로 됨,2,1,4.78,체계,Y
체계적,일정한 원리에 따라 부분들이 짜임새 있게 조직되어 통일된 전체를 이루는 것,2,1,4.78,체계,Y
지식인,높은 지식을 지니고 사회의 모순을 비판하며 실천하는 지성인,2,1,4.77,지식인,Y
상품화,어떤 대상을 상품으로 만들어 냄,2,1,4.76,상품,Y
통일성,다양한 요소들이 있으면서도 전체가 하나로서 파악되는 성질,2,1,4.76,통일,Y
복잡성,"일, 감정 등이 정리하기가 어려울 만큼 여러 가지가 얽혀 있는 성질",2,1,4.75,복잡,Y
지적,허물이나 잘못 따위를 꼭 집어 말함,2,1,4.75,지적,Y
확장,"범위, 규모, 세력 따위를 늘려서 넓힘",2,1,4.75,확장,Y
추진,목적을 이루기 위하여 일을 밀고 나감,2,1,4.74,추진,Y
기초,사물의 바탕이나 토대가 되는 것,2,1,4.73,기초,Y
대응,어떤 일이나 사태에 맞추어 태도나 행동을 취함,2,1,4.72,대응,Y
지속가능한,미래 세대에게 영향을 끼치지 않으면서 현재의 필요를 충족시킬 수 있는,2,1,4.72,지속가능한,Y
상호성,"나와 너, 혹은 대상들이 고립되지 않고 서로 긴밀히 영향을 주고받는 성질",2,1,4.71,상호,Y
마련,필요한 물건이나 대책을 준비하여 갖춤,2,1,4.68,마련,Y
보유,자기 것으로 가지고 있음,2,1,4.68,보유,Y
최소화,가장 작게 함,2,1,4.68,최소,Y
확보,확실하게 잡거나 가짐,2,1,4.68,확보,Y
마무리,일의 끝을 맺음,2,1,4.67,마무리,Y
세력,권세나 힘의 기세,2,1,4.67,세력,Y
확정,확실하게 정함,2,1,4.67,확정,Y
개선,"잘못된 것이나 부족한 것, 나쁜 것 따위를 고쳐 더 좋게 만듦",2,1,4.65,개선,Y
