번호,DAY,단어,원문 단어,한자,한자 뜻풀이,출처,품사,뜻
0001,DAY 01,양상,양상08,樣相,"모양 양, 서로 상",2016수능A,명사,"(1) 사물이나 현상의 모양이나 상태. ≒ 양
22(樣)(2).
¶ 소설의 시대별 양상 / 다채로운 양상을 띠다. / 복잡한 양상을 보이다
(2) {논리} 판단의 확실성. 일정한 판단의 타당한 정도를 이른다."
0002,DAY 01,알짜,알짜,,,2016수능A,명사,"(1) 여럿 가운데 가장 중요하거나 훌륭한 물건.
¶ 알짜가 쏙 빠지다. / 알짜만 남기다.
(2) 실속이 있거나 표본이 되는 것.
¶ 오 서방은 송곳 하나 꽂을 땅이 없는 알짜 소작인이었다.
≪채만식, 소년은 자란다≫"
0003,DAY 01,물체,물체,物體,"만물 물, 몸 체",2016수능A,명사,"(1) 구체적인 형태를 가지고 있는 것.
¶ 무거운 물체 / 방구석에 이상한 물체가 눈에 띄었다.
(2) 물건의 형체.
¶ 물체가 선명히 보이다.
(3) {철학} 정신이나 의식이 없는 유형물. 삼차원적인 공간을 차지하고 있는 형성물로서, 공
간적 부피를 가진 것을 이른다."
0004,DAY 01,평형,평형02,平衡,평평할 평저울대 형,2016수능A,명사,"(1) 사물이 한쪽으로 기울지 않고 안정해 있음.
¶ 평형이 깨지다 / 심리적 평형 상태를 유지하다 / 그는 마음의 평형을 잃고 흥분
했다.
(2) 몸을 굽혀 머리와 허리가 저울대처럼 바르게 하는 절.
(3) 저울대가 수평을 이루고 있음.
(4) {물리} 물체 사이에 서로 작용하는 힘과 회전력이 서로 비기어 크기가 전혀 없음. 또는
그런 상태."
0005,DAY 01,대역,대역06,帶域,"띠 대, 지경 역",2016수능A,명사,{물리} 어떤 폭으로써 정해진 범위. 최대 주파수에서 최저 주파수까지의 구역을 말한다.
0006,DAY 01,요구,요구03,要求,"구할 요, 구할 구",2016수능A,명사,"(1) 받아야 할 것을 필요에 의하여 달라고 청함. 또는 그 청.
¶ 요구 사항 / 요구 조건 / 요구에 응하다
(2) {법률} 어떤 행위를 할 것을 청함.
¶ 증인 출두 요구.
(3) {심리} 유기체의 행동을 일으키게 하는 생활체의 내부 원인. 생리적 · 심리적 기관에 생
기는 모자람을 보충하거나 또는 과잉을 배제하려고 하는 과정이다."
0007,DAY 01,필요,필요,必要,"반드시 필, 구할 요",2016수능A,명사,"반드시 요구되는 바가 있음. ≒ 수요03(須要).
¶ 필요 물품 / 어떻게든 전반적인 사정과 북쪽의 동정을 정확하게 알아야 할 필요
가 생겼다. ≪이병주, 지리산≫"
0008,DAY 01,방법,방법,方法,"모 방, 법 법",2016수능A,명사,"(1) 어떤 일을 해 나가거나 목적을 이루기 위하여 취하는 수단이나 방식.
(2) {철학} 객관적 진리에 이르기 위하여 사유 활동을 행하는 방식. 곧 사유 대상을 다루는
법을 이른다."
0009,DAY 01,토대,토대,土臺,"흙 토, 돈대 대",2016수능A,명사,"(1) {건설} 목조 건축에서, 기초 위에 가로 대어 기둥을 고정하는 목조 부재.
(2) {건설} 모든 건조물 따위의 가장 아랫도리가 되는 밑바탕. ≒ 지반
01(地盤)(4)·흙바탕(3).
(3) 어떤 사물이나 사업의 밑바탕이 되는 기초와 밑천을 비유적으로 이르는 말."
0010,DAY 01,선험적,선험적,先驗的,"먼저 선, 증험할 험, 어조사 적",2016수능A,"관형사, , 명사","{철학} 경험에 앞서서 인식의 주관적 형식이 인간에게 있다고 주장하는. 또는 그런 것. 대상
에 관계되지 않고 대상에 대한 인식이 선천적으로 가능함을 밝히려는 인식론적 태도
를 말한다.
¶ 마치 선험적으로 알고 있었던 듯한 착각마저 든다. ≪이호철, 문≫"
0011,DAY 01,논증,논증02,論證,"말할 론, 증거 증",2016수능A,명사,옳고 그름을 이유를 들어 밝힘. 또는 그 근거나 이유.
0012,DAY 01,개연성,개연성,蓋然性,"덮을 개, 그럴 연, 성품 성",2016수능A,명사,"{논리} 절대적으로 확실하지 않으나 아마 그럴 것이라고 생각되는 성질.
¶ 개연성이 있다. / 개연성이 없다. / 오류 발생의 개연성이 크다. / 이 교통사고는
운전자의 부주의로 일어났을 개연성이 높다."
0013,DAY 01,소송,소송01,訴訟,"하소연할 소, 송사할 송",2016수능A/B,명사,"{법률} 재판에 의하여 원고와 피고 사이의 권리나 의무 따위의 법률관계를 확정하여 줄 것을
법원에 요구함. 또는 그런 절차. 민사 소송, 형사 소송, 행정 소송, 선거 소송 따위가
있다. ≒ 송사
03(訟事)(1)·송소(訟訴)·송옥
02(訟獄).
¶ 소송에 걸리다. / 요즘 불법 복제에 대한 소송이 잇따라 제기되고 있다. / 그는
소송에서 패소하여 징역을 살았다."
0014,DAY 01,기미,기미05,機微,"틀 기, 작을 미",2016수능A/B,명사,"어떤 일을 알아차릴 수 있는 눈치. 또는 일이 되어 가는 야릇한 분위기. ≒ 기미
05(幾微)·기
수17(幾數).
¶ 낌새가 이상하다. / 미심쩍은 낌새가 보이다. / 낌새를 맡다."
0015,DAY 01,승소,승소02,勝訴,"이길 승, 하소연할, 소",2016수능A/B,명사,"{법률} 소송에서 이기는 일. 소송 당사자의 한 편이 자기에게 유리한 판결을 받는 일이다. ≒
득결(得決)·득송(得訟). (반)패소.
¶ 승소 판결 / 재판에서의 승소로 명예를 회복했다."
0016,DAY 01,난제,난제,難題,"어려울 난, 표제 제",2016수능A/B,명사,"해결하기 어려운 일이나 사건. ≒ 난문
04(難問)(2)."
