"target","level","meaning","sentence","제안태그"
"가변성","1","상황에 따라 변하기 쉬운 성질","기억의 ____은 때로 과거를 미화하기도 하지만, 덕분에 우리는 아픈 상처를 딛고 내일로 나아갈 수 있다.","학술_논리"
"개별성","1","전체나 보편적인 것과 구별되는 개개인의 고유한 특성","집단의 규격화된 흐름에 매몰되지 않고, 나만의 속도와 무늬를 묵묵히 다듬어 나가는 ____의 가치는 무엇보다 소중하다.","학술_논리"
"고립","1","다른 사람이나 사회와 관계를 끊고 홀로 남겨진 상태","군중 속의 고독처럼, 수많은 정보와 가상 관계의 범람 속에서도 현대인은 오히려 더 깊은 정서적 ____ 속에서 앓고 있다.","감정_심리,사회_기본"
"동향","1","어떤 현상이나 사태가 움직여 가는 방향","급변하는 시대의 ____을 읽어내는 것도 중요하지만, 변하지 않는 본질에 집중하는 힘도 필요하다.","격식_비즈니스"
"동향","1","고향이 같음. 또는 고향이 같은 사람","철저히 이방인으로 살아가던 낯선 타국에서 우연히 마주친 ____ 사람의 사투리는, 단숨에 향수라는 소나기를 내리게 했다.","사회_기본"
"매몰","1","어떠한 사소한 감정이나 환경, 눈앞의 이익에 완전히 빠져 헤어나오지 못함","당장 눈앞에 닥친 생계의 피로와 남들의 평판에 완전히 ____되어 살아가다 보면, 가슴속에서 반짝이던 진짜 꿈들을 잊어버리기 쉽다.","감정_심리"
"무의식","1","스스로 자각하지 못하는 마음의 깊은 심연 영역","의식의 촛불이 비추는 좁은 방보다, 그 아래에 끝없이 펼쳐진 어둡고 광활한 ____의 바다가 우리의 진짜 동기를 추동한다.","감정_심리,학술_논리"
"방기","1","자신의 책임이나 내면의 의무를 소홀히 하거나 내버려 두고 돌보지 않음","스스로 사유하고 결단하기를 두려워하여 남들의 조언에만 의지하는 것은, 내 인생의 주권을 스스로 ____하는 비겁한 태도다.","격식_비즈니스"
"방황","1","확고한 이정표를 잃고 마음의 안정을 찾지 못해 이리저리 방황하고 헤맴","어디로 가야 할지 모르는 막막한 ____의 계절은 헛된 낭비가 아니라, 나만의 진짜 북극성을 찾기 위한 고결한 여정이다.","감정_심리"
"보편성","1","시대나 장소를 초월하여 모든 것에 두루 미치거나 통하는 성질","지극히 개인적이고 은밀한 고백이야말로, 세대를 건너뛰어 모든 인간의 마음속 슬픔을 울리는 위대한 ____을 획득한다.","학술_논리"
"본질","1","사물이 그 자체가 되게 하는 가장 근본적이고 변하지 않는 성질","화려하게 반짝이는 유행과 겉모습에 눈이 멀기보다, 현상의 장막 이면에서 묵묵히 흐르는 고요한 ____을 꿰뚫어 볼 수 있어야 한다.","학술_논리"
"부합","1","사물이나 현상이 서로 꼭 들어맞음","나의 내면적 가치관과 외부의 행동이 완벽하게 ____할 때, 우리는 가장 자연스럽고 당당한 나 자신이 된다.","학술_논리"
"부합","1","서로 맞대어 붙임","산산이 부서진 관계의 조각들을 억지로 ____하려 들기보다, 그 갈라진 틈새를 있는 그대로 인정할 때 비로소 상처가 아물기 시작한다.","학술_논리"
"상실","1","가지고 있거나 누리던 소중한 것의 맥이 끊기거나 잃어버림","소중한 사람과의 갑작스러운 작별이 남긴 참담한 ____감은, 역설적으로 그 사람이 내 삶에 얼마나 찬란한 빛이었는지 보여준다.","감정_심리"
"습속","1","오랫동안 굳어져 내려온 생활 방식이나 행동 양식","어린 시절부터 속해 있던 계급과 환경 속에서 무의식적으로 길러진 삶의 ____은 우리의 취향과 운명을 결정하는 숨은 조종자가 된다.","사회_기본,학술_논리"
"시각화","1","보이지 않는 추상적인 것을 일정한 형태로 나타내어 보이게 함","모호하게 떠다니던 나의 불안을 글로 적어 ____하고 나니, 비로소 그 감정을 통제할 수 있을 것 같았다.","학술_논리"
"신뢰도","1","믿고 의지할 수 있는 정도","화려한 언변보다도, 한 사람이 보여주는 일관된 태도와 작은 약속의 이행이 관계의 ____를 결정짓는다.","학술_논리"
"양심","1","도덕적인 옳고 그름을 스스로 판단하여 마땅히 선을 행하고 악을 멀리하려는 마음","어두운 밤 아무도 보지 않는 고요 속에서, 가슴 깊이 두근거리며 경고를 보내오는 내면의 ____은 인간다움의 마지막 보루다.","감정_심리,학술_논리"
"어긋나다","1","서로 맞지 않고 빗나가다","약속 시간이 서로 ____ 바람에 두 사람은 만나지 못했다.","기초"
